CPU,Time,N0 free,N2 free,N4 free,N6 free,Copy: Best,Copy: Avg,Copy: Min,Copy: Max,Scale: Best,Scale: Avg,Scale: Min,Scale: Max,Add: Best,Add: Avg,Add: Min,Add: Max,Triad: Best,Triad: Avg,Triad: Min,Triad: Max
22,1476119416.9132748,3614,1377,1758,7227,2045.9,0.195976,0.195514,0.196792,2046.8,0.195732,0.195430,0.196136,2040.0,0.294406,0.294121,0.294797,2039.7,0.294559,0.294168,0.295786
29,1476119422.1881688,3619,1374,1760,7228,4119.6,0.097628,0.097096,0.099012,4149.1,0.096742,0.096407,0.097777,4369.0,0.137793,0.137332,0.139339,4373.1,0.137584,0.137202,0.138958
42,1476119428.3263774,3620,1374,1760,7229,3515.8,0.113997,0.113771,0.114234,3527.5,0.113613,0.113396,0.113848,3795.8,0.158160,0.158069,0.158252,3799.1,0.158123,0.157931,0.158520
6,1476120006.7928302,3860,1374,1759,7225,4425.3,0.095730,0.090389,0.097425,4363.5,0.092925,0.091669,0.093848,4714.4,0.128002,0.127269,0.128469,4741.1,0.127497,0.126554,0.128014
22,1476120017.409852,3865,1378,1758,7229,2046.0,0.195682,0.195508,0.195880,2049.5,0.195431,0.195172,0.195989,2039.2,0.294418,0.294226,0.294982,2039.9,0.294361,0.294135,0.294704
33,1476120023.7265623,3853,1379,1759,7229,3569.0,0.118011,0.112077,0.130703,3592.8,0.115957,0.111334,0.121227,3844.1,0.163229,0.156083,0.169610,3843.1,0.164721,0.156125,0.172303
42,1476120030.0899217,3835,1380,1759,7230,3482.4,0.119867,0.114864,0.129322,3505.4,0.117834,0.114109,0.125996,3758.7,0.164355,0.159630,0.172694,3765.8,0.166167,0.159328,0.178047
0,1476120605.4920812,3924,1730,1763,7227,5768.4,0.076313,0.069343,0.079059,5698.6,0.075431,0.070192,0.077597,6425.4,0.101484,0.093380,0.103626,6504.6,0.101062,0.092242,0.104094
20,1476120616.116799,3928,1729,1763,7227,2046.5,0.195900,0.195455,0.197288,2047.8,0.195598,0.195330,0.195915,2039.8,0.294485,0.294152,0.294844,2038.9,0.294844,0.294280,0.297641
31,1476120622.1164036,3928,1730,1764,7229,3596.1,0.111464,0.111233,0.111849,3613.1,0.111046,0.110707,0.111556,3875.1,0.154986,0.154833,0.155187,3876.0,0.154985,0.154798,0.155819
36,1476120628.0993207,3929,1730,1765,7229,3844.2,0.113045,0.104052,0.123563,3901.8,0.113471,0.102516,0.123115,4089.2,0.158236,0.146729,0.168122,4099.5,0.156760,0.146359,0.167797
7,1476121206.3906226,3354,1729,1760,7246,4319.7,0.096745,0.092599,0.101488,4569.3,0.092326,0.087541,0.094658,5083.7,0.127792,0.118024,0.133904,5143.8,0.127197,0.116645,0.140587
16,1476121213.7938473,3325,1727,1763,7248,2939.8,0.137492,0.136063,0.138146,2971.3,0.137793,0.134619,0.142841,3018.1,0.202362,0.198799,0.205398,3018.6,0.202559,0.198768,0.204524
33,1476121220.1410398,3274,1728,1764,7248,3577.7,0.118254,0.111803,0.124986,3593.1,0.118009,0.111324,0.122972,3851.4,0.163900,0.155789,0.172464,3848.8,0.163707,0.155892,0.171631
43,1476121226.4319491,3270,1728,1765,7249,3512.1,0.116465,0.113892,0.125187,3509.7,0.116261,0.113970,0.120690,3785.6,0.162943,0.158495,0.171468,3788.2,0.164430,0.158385,0.181482
4,1476121805.7753744,3547,1727,1759,7246,5764.0,0.074857,0.069396,0.078251,5723.3,0.074395,0.069890,0.076243,6545.9,0.099965,0.091660,0.103241,6563.3,0.099454,0.091418,0.102418
14,1476121813.0232668,3555,1729,1762,7246,2991.5,0.134011,0.133714,0.134365,2987.4,0.134116,0.133895,0.134356,3033.4,0.198173,0.197798,0.198635,3034.0,0.198096,0.197760,0.198663
25,1476121818.421669,3555,1729,1763,7247,4129.8,0.101523,0.096858,0.108382,4150.8,0.101426,0.096366,0.108053,4371.6,0.142726,0.137250,0.152218,4375.7,0.142771,0.137121,0.151737
38,1476121824.2072783,3555,1730,1764,7247,3948.0,0.105902,0.101316,0.109650,3961.2,0.105390,0.100979,0.110086,4186.1,0.149024,0.143333,0.154428,4193.8,0.148439,0.143068,0.154035
6,1476122406.1137571,4360,1730,1761,7261,4702.4,0.087336,0.085063,0.095059,5014.9,0.083240,0.079762,0.091128,5264.9,0.116824,0.113963,0.125990,5270.2,0.116329,0.113847,0.124366
16,1476122413.445916,4377,1729,1760,7261,2981.4,0.135713,0.134163,0.138873,2983.9,0.136007,0.134053,0.138272,3036.6,0.200354,0.197591,0.203102,3027.6,0.200157,0.198178,0.202965
25,1476122418.9932096,4221,1730,1761,7262,4098.5,0.104209,0.097597,0.109316,4110.3,0.104767,0.097317,0.109663,4291.0,0.148206,0.139828,0.154242,4348.6,0.147632,0.137974,0.153311
40,1476122426.8474474,4212,1730,1761,7263,3018.2,0.156629,0.132531,0.174930,3233.6,0.161037,0.123703,0.194481,3858.3,0.213831,0.155508,0.234694,3846.7,0.211742,0.155978,0.230497
0,1476123010.806896,3510,1734,1758,7260,2776.9,0.160640,0.144046,0.171496,3162.8,0.155723,0.126470,0.167900,3464.2,0.205234,0.173201,0.219523,3162.3,0.210845,0.189738,0.218586
12,1476123039.9559848,2957,1735,1768,7267,1184.2,0.518283,0.337777,0.704514,1176.5,0.535521,0.339994,0.769351,1208.3,0.677464,0.496563,0.921073,1203.9,0.726925,0.498399,1.010459
33,1476123047.6358943,3521,1735,1769,7267,3383.7,0.142058,0.118212,0.159504,3399.6,0.146343,0.117660,0.164276,3575.0,0.206688,0.167833,0.256020,3820.0,0.194968,0.157070,0.223111
38,1476123053.011603,4103,1736,1769,7267,4008.5,0.099906,0.099787,0.100011,4023.0,0.099569,0.099428,0.099676,4239.3,0.141590,0.141534,0.141673,4244.7,0.141420,0.141352,0.141490
5,1476123605.3189197,3781,1728,1766,7265,5788.3,0.073341,0.069105,0.081147,5825.0,0.072726,0.068670,0.078058,6528.0,0.096634,0.091911,0.103696,6529.7,0.096270,0.091888,0.105193
20,1476123617.8138354,3785,1731,1768,7263,2041.8,0.227913,0.195906,0.385521,2046.0,0.227389,0.195500,0.375312,2038.4,0.343538,0.294353,0.586398,2038.1,0.360781,0.294397,0.586290
30,1476123630.446348,2764,1735,1772,7267,2416.7,0.232255,0.165517,0.261110,2380.0,0.229574,0.168068,0.260028,2679.3,0.312081,0.223937,0.368928,2696.6,0.309089,0.222503,0.364091
42,1476123639.1348495,3220,1736,1772,7262,3040.7,0.159792,0.131548,0.167132,3016.5,0.163816,0.132603,0.175797,3097.3,0.217582,0.193720,0.227431,3227.5,0.216071,0.185904,0.226210
10,1476124206.7254505,3711,1761,1760,7171,4615.9,0.096238,0.086657,0.111303,4824.9,0.092815,0.082903,0.105291,5125.7,0.125458,0.117058,0.132128,5159.6,0.127425,0.116287,0.144753
13,1476124214.2064216,3743,1764,1768,7178,2965.7,0.137465,0.134877,0.139190,2962.6,0.136996,0.135018,0.138494,3008.8,0.201770,0.199415,0.204976,3014.8,0.202017,0.199020,0.205589
32,1476124220.6998477,3751,1767,1768,7180,3565.7,0.118983,0.112180,0.131809,3576.0,0.118535,0.111858,0.124961,3833.1,0.166867,0.156533,0.177210,3837.2,0.166668,0.156364,0.178881
36,1476124226.4077032,3739,1767,1768,7180,3975.6,0.106027,0.100614,0.112886,3971.1,0.105783,0.100727,0.111603,4208.2,0.150166,0.142578,0.165010,4216.3,0.148890,0.142304,0.156256
